Title,Genre,Length (s),Note Count,Avg Notes/Min,BPM,Tempo Changes Count,Min Velocity,Max Velocity,Unique Pitches Count
3 Preludes No 2 in C sharp minor,Jazz,241.0639741041667,870,216.54002923491063,118.9534759242968,1,20,80,51
A Fine Romance  take 1,Jazz,194.49166666666667,1663,513.0296927888942,217.6610978520258,1,1,103,69
A Fine Romance  take 2,Jazz,194.46666666666667,1704,525.7456290709633,192.532795156408,1,1,103,66
A Nightingale Sang,Jazz,298.1490558583333,2623,527.8567780364856,204.1891282742991,1,1,99,75
A Remark You Made,Jazz,319.9083333333333,1295,242.88207559457135,153.0662305805393,1,1,96,75
A Sleepin Bee,Jazz,186.81251556770837,1611,517.4171532686553,170.87538911210666,1,1,115,62
A Walk In The Black Forest,Ambient,167.02000020833336,1398,502.2153029300191,185.0192493846764,1,34,126,52
A Womans Worth (Album Version),Jazz,302.37604166666665,1085,215.29483500470235,156.8225496476632,1,1,117,29
Aarestrup I Marts,Jazz,192.883088671875,256,79.63373101168978,137.82771470402662,1,55,116,31
After Youve Gone,Jazz,227.714058,2426,639.2227220332616,203.1236288163251,1,2,110,69
Alfie,Jazz,197.43125,808,245.55383203013707,159.27601809954598,1,1,106,35
Alice In Wonderland,Jazz,173.30340495000002,1208,418.2260586334775,164.3232310073551,1,1,113,67
All Out Of Love,Jazz,250.9686111354167,20,4.781474442445348,108.00205203898872,1,1,1,8
All The Things You Are,Ambient,325.63358420833333,1823,335.8990144272743,147.2860682941599,1,1,103,67
Alone Together (trio),Jazz,251.2318967375,2789,666.0778435106329,192.22809687396688,1,1,113,72
Always,Jazz,217.611846,973,268.2758364174715,134.0000580666918,1,6,84,33
Another Falling Star (Album Version),Jazz,252.67147567187504,1264,300.1525985405949,196.071539678634,1,30,110,42
Answer Me My Love,Jazz,281.5625,962,204.99889012208655,119.937532535138,1,1,120,65
April In Paris,Jazz,219.9033203125,911,248.56377758336623,64.0,1,56,94,47
Ask Me Now (Monk),Jazz,227.20493230833333,2268,598.9306597241018,164.82545777625506,1,1,105,76
At Last,Jazz,147.55002459166667,632,256.9975850898072,174.13620000000546,1,114,114,45
Autumn In The San Juans,Jazz,250.40546875,869,208.22228947425893,123.96949422168156,1,37,126,33
Autumn Leaves,Jazz,300.6487723458334,3138,626.2456970335583,199.07013796058973,1,1,127,62
Back At One,Jazz,244.9765625,753,184.42580604011863,193.7943925233645,1,30,127,44
Because Of You,Jazz,268.5895041375,246,54.95374827619421,60.52738188771783,1,69,100,15
Begin The Beguine,Jazz,163.832638671875,1717,628.8124322182778,192.19671668207505,1,1,105,53
Bess You Is,Jazz,234.73857376666663,1000,255.60349557052697,133.8742750507193,1,1,105,67
Best Of My Love,Jazz,222.56018161666668,2831,763.209298114986,230.94849211834705,1,35,127,28
Better Days Ahead - Live Version,Jazz,290.744739,2068,426.7661056456812,157.03291227035714,1,16,112,55
Big Spender,Jazz,115.0,549,286.4347826086956,195.55555555555557,1,65,127,28
Birth Of The Universe,Jazz,261.5995179166667,615,141.05530581197252,72.20156553521977,1,45,89,24
Blame It On My Youth,Jazz,299.811610325,1770,354.2224395008509,129.1004710053163,1,1,115,59
blame it on the moon,Jazz,218.6484375,788,216.23753885732663,130.53824362606233,1,85,85,37
Blue Room ,Jazz,125.171875,888,425.654724753464,163.2653061224478,1,1,99,64
Brazilian Like,Jazz,301.4216666666667,3343,665.4465228666376,184.6627340343688,1,1,127,68
Brazilian Suite,Jazz,166.17737345,1660,599.3595754476645,194.3353650986504,1,1,97,52
Buena Vista Social Club,Jazz,295.7790809375,1767,358.4431991064395,168.25254275250393,1,6,127,52
But Beautiful,Jazz,299.0416666666667,1696,340.28702800613064,179.29226736566304,1,1,96,69
By The Time I Get,Jazz,210.4056607583333,1100,313.6797734534621,156.99008824287773,1,1,118,62
Caress the Lines Away,Jazz,69.19807635416666,691,599.1496033473703,153.5214663648013,1,13,115,33
Carnival (Black Orpheus),Jazz,300.3493744,2403,480.04095326659024,200.766441046274,1,1,118,58
Cast Your Fate To The Wind,Jazz,175.9622398125,1255,427.9327205668522,214.34046759005605,1,35,127,48
Cast Your Fate,Jazz,139.255431,940,405.0111338206982,170.98721542839212,1,1,101,51
Chanson DAmour (LP Version),Jazz,229.280865859375,761,199.14439798044324,157.71842635105213,1,47,127,41
Chega de Saudade,Jazz,128.46415725000003,432,201.7683418851058,136.88902577791464,1,100,120,34
Chelsea Bridge,Jazz,171.07859994166668,635,222.70465162206787,139.4945615884527,1,16,118,69
Christmas Is Coming,Jazz,140.75111666666666,1078,459.53454247313846,161.8422172280264,1,90,110,30
Christmas Time Is Here (Album Version),Jazz,145.999854,622,255.61669397285837,130.90922181831263,1,91,110,28
Christmas Time Is Here (Reprise),Jazz,135.463764,622,275.49802912607686,153.5835073946416,1,91,110,28
Cinema Paradiso,Jazz,229.116875,1289,337.55697828891914,184.8872776707819,1,1,127,59
Clocks,Jazz,215.3411458333333,760,211.75702313431933,83.33333333333341,1,57,116,38
Colour My World,Jazz,162.77916666666667,720,265.3902270458443,178.17371937639197,1,5,127,53
Come Rain Or Come Shine (solo),Jazz,195.924,1346,412.2006492313346,180.73721759809777,1,1,108,75
Come Sunday,Jazz,186.26185985000004,1384,445.82396024002753,145.53847067918952,1,1,92,71
Cubano Chant,Jazz,223.336836046875,2518,676.4670023725537,186.84723786151451,1,1,118,66
Cubed (Pt 2),Jazz,240.109375,518,129.44100995640008,46.39922667955534,1,32,127,20
Cue 2,Jazz,270.76224640625,1271,281.6493104639854,150.43292874368956,1,12,113,28
Dance With Me,Jazz,194.9601457770833,978,300.98459234378333,190.57607623629053,1,20,127,3
Dancing On The Ceiling,Jazz,217.285716828125,1217,336.0552228923519,146.10898445464676,1,1,100,79
Days Of Wine And Roses,Jazz,344.23046875,2680,467.1288993792767,143.99999999999994,1,1,127,70
Desafinado,Jazz,311.412109375,1929,371.6618478076805,150.58823529411768,1,41,121,36
Dont Explain,Jazz,234.179503315625,1571,402.51174276750106,177.08879392342683,1,1,105,77
Downtown,Jazz,175.49261296875,1928,659.1730446260958,190.8447926147049,1,53,121,61
Duende,Jazz,278.02500000000003,1599,345.0768815753978,221.9140083217754,1,10,93,53
Early Autumn (Digitally Remastered 03),Jazz,200.48508026666667,801,239.71858622135397,116.23191420408112,1,38,110,48
Easy,Jazz,186.71073071875,1173,376.9467332116881,168.36975271546254,1,50,127,44
Effendi,Jazz,167.4937719,1005,360.01338626490144,212.40692882483935,1,5,118,43
Emotion,Jazz,256.98873333333336,1741,406.47696358154224,164.20741288349083,1,39,82,25
Estate,Jazz,266.88541666666663,1409,316.76515358494987,186.5258711721239,1,1,94,55
Esther,Jazz,254.0625,1203,284.1033210332103,154.37884824338997,1,5,121,41
Etudes,Jazz,141.2890625,514,218.27591927011332,149.88847583643224,1,2,103,31
Europa,Classical,320.8333333333333,1325,247.7922077922078,72.0,1,6,110,21
Exactly Like You,Jazz,121.00442451041668,946,469.0737568452615,189.9879879972073,1,1,113,53
Falling In Love With Love (trio) ,Jazz,226.482702,2085,552.3600650084085,186.77405474411736,1,1,118,61
Fantasy,Jazz,242.0,850,210.74380165289256,135.92920353982302,1,78,127,50
Far Away Places,Jazz,219.8763020833333,878,239.589257691055,123.92221762515469,1,1,109,74
Fascinacao,Jazz,231.60875,1167,302.3201843626374,173.9130434782616,1,89,117,53
Felicity Rag,Jazz,208.659375,2388,686.6693624477692,197.12525667351235,1,2,126,62
Fell For You,Jazz,296.7833333333333,1244,251.49660245970688,173.39256488192655,1,82,89,43
Freedom At Midnight,Jazz,240.000228,1807,451.7495708379077,218.8786288989049,1,85,115,47
Georgia On My Mind,Country,54.0,193,214.44444444444443,120.0,1,100,100,30
Girl From Ipanema,Jazz,119.9453125,1261,630.7874682472481,158.6177105831533,1,51,124,37
Give Your Love To Me,Jazz,244.51631751302085,528,129.56190540663198,92.55890729335576,1,29,127,34
