Title,Genre,Length (s),Note Count,Avg Notes/Min,BPM,Tempo Changes Count,Min Velocity,Max Velocity,Unique Pitches Count
(Da Le) Yaleo,Rock,320.568,2554,478.0265029572509,221.75505221755057,1,1,127,36
(Day Dream) Prayer,Rock,317.0727569270833,237,44.847750837421046,123.51857897593332,1,126,126,12
(Do You Love Me) Just Say Yes (Album Version),Rock,131.99986800000002,688,312.7275854548582,176.59108568199466,1,40,105,21
(Everything I Do) I Do It For You,Unknown,86.97395833333333,348,240.07186059045452,162.01332346410112,1,23,127,25
(hospital vespers),Rock,284.46730812500005,1344,283.47721406554507,207.12703441128932,1,64,127,51
(I Wish I Knew How It Would Feel To Be) FreeOne,Rock,230.227422375,333,86.78375405452827,89.09994208503768,1,1,127,27
(Id Choose) You Again (Album Version),Unknown,117.333216,628,321.13668477304844,138.5527701317174,1,38,102,25
(Ik heb Bij Jou) Dat Goed Gevoel (Flemish),Classical,245.765625,805,196.52870493991992,124.6477314644046,1,48,122,23
(Im A) Stand By My Woman Man,Rock,117.34583333333332,1099,561.9287717927778,154.6170365068001,1,31,125,24
(Ive Had) The Time Of My Life (from Dirty Dancing),Unknown,285.8834110416667,632,132.64148437935515,217.8784206470717,1,127,127,45
(Ive Had) The Time Of My Life,Unknown,303.197364140625,887,175.5292304431651,182.3552235432168,1,41,127,33
(Let Me Be ) Your Teddy Bear,Rock,109.59512,1097,600.5741861498943,232.148633859972,1,55,120,40
(Maria Cries In Lima) (Album),Rock,178.62848789062502,292,98.0806600721357,80.22170588307831,1,2,121,19
(Sittin On) The Dock Of The Bay,Blues,163.95911275416665,631,230.9112275861463,142.31580844912506,1,14,120,30
(SittinOn) The Dock Of The Bay,Rock,159.767697375,542,203.54552599998,123.91867943154928,1,19,119,29
(When You Gonna) Give It Up To Me (Radio Version),Unknown,247.419523125,584,141.62180719383764,191.88057353103525,1,30,110,13
(Who) Keeps Changing Your Mind (Daniel Bovie  Roy Rox Dub Mix),Unknown,303.767953725,510,100.73478661841358,145.33352226691247,1,101,127,35
-start ID-,Rock,161.78836166666667,264,97.9056826883211,135.04513623976663,1,29,123,22
.mid,Rock,254.88690291666663,542,127.58599844823009,75.21455648668913,1,1,102,24
0040,Classical,321.9515625,513,95.6044436032206,169.2905195858582,1,127,127,54
05 The Family - Different (Retro Extended Mix),Rap,245.265625,523,127.94291902911384,49.81484539000402,1,29,126,30
1 Lugar Ao Sol,Rock,228.9708191666667,394,103.24459722001764,151.41302648110323,1,1,121,31
1000 Taler,Rock,218.37816,628,172.54472700017254,145.28522213202473,1,82,100,29
1000 Und 1 Nacht (2008 Digital Remaster),Rock,198.10875,1394,422.1923564708777,199.64144854786727,1,50,106,29
10Le gai laboureur,Classical,48.0,352,440.0,200.0000000000001,1,127,127,20
11 Bagatelles for Solo Fortepiano op 119 no 11,Classical,80.509375,439,327.1668672126693,155.46558704453474,1,100,100,43
11 Bagatelles for Solo Fortepiano op 119 no 3,Classical,92.146875,834,543.0460881066232,235.6124314442416,1,100,100,39
11 Y 6,Rock,180.20625,927,308.6463427322859,162.11453744493494,1,12,124,46
1111 (Album Version),Rock,208.4819630833333,423,121.73714994162462,145.7361056478815,1,1,1,21
11Sicilienne,Classical,119.454426,367,184.3380838814629,192.9510126231437,1,127,127,16
12 Etudes Op10 N9 in Fa Minore Allegro_ Molto Agitato,Unknown,127.60416666666666,1230,578.3510204081632,216.54135338345867,1,8,121,64
12Le Père Fouettard,Classical,106.666336,1364,767.2523784823733,246.5065781238816,1,127,127,44
14 ValsesWaltzes (2005 Digital Remaster) No10 in B minor Op69 No2,Classical,237.66458333333333,1898,479.16268550741154,185.1214670573783,1,6,110,42
14 ValsesWaltzes (2005 Digital Remaster) No12 in F minor Op70 No2,Classical,181.9453125,1337,440.90171325518486,194.13549039433707,1,2,106,42
14Petite Etude,Classical,107.0625,570,319.43957968476354,160.0,1,127,127,29
16 Waltzes Opus 39 No15 In A Flat Wiegenlied,Classical,62.414620125000006,714,686.3776454010741,200.11784717667047,1,44,105,41
16Premier chagrin,Classical,77.432355,183,141.80118892160775,124.45466990921535,1,127,127,18
1812 Overture,Classical,109.0908,775,426.25042625042624,179.5920163267101,1,64,96,60
18Chant des Moissonneurs,Classical,60.23057850000001,458,456.246655509045,243.55808352022885,1,127,127,24
18th Variation from Rhapsody on a Theme of Paganini_ Op 43,Unknown,154.81041501302082,1111,430.59118467186687,177.6081438057549,1,5,127,54
1973  (Album Version),Rock,247.0458333333333,1190,289.0151962355164,128.90025575447555,1,47,123,26
2 Become 1 (Single Version),Pop,106.25654898437502,617,348.40205478011313,145.65082407749858,1,39,111,30
2 in A minor,Classical,111.14583333333331,342,184.622305529522,126.06060606060592,1,10,103,34
2 in B flat minor,Classical,228.9815215,1194,312.8636735868663,178.15924265743084,1,12,76,62
2 in E,Classical,69.99993,733,628.2863425720568,189.00018900018907,1,76,76,44
20 De Abril,Rock,244.3979309375,1373,337.0732300555649,109.14719586570884,1,10,118,19
20 Good Reasons,Rock,273.6245895625,960,210.5073966199346,132.43259163789824,1,75,127,27
22,Rock,186.45325571666663,1535,493.9575854870277,191.8722653495178,1,1,127,39
25 Minutes (2002 Digital Remaster),Rock,238.588116,1401,352.3226613684313,113.33339000002836,1,127,127,35
25Echos du Théâtre,Classical,97.894652,1058,648.4521748951106,142.08707966387487,1,127,127,33
3 Allegro giocoso - Poco meno presto - Tempo I,Unknown,104.96979166666668,274,156.6164868861081,166.61363570622777,1,51,114,28
3 in G major,Classical,51.137881150000005,663,777.8969152694351,161.5214306049252,1,27,96,37
3 Nemet-3 Deutsche Tanze Primo,Classical,73.5,296,241.6326530612245,149.1891891891892,1,100,100,41
3 Nemet-3 Deutsche Tanze,Classical,48.5,199,246.18556701030928,135.0,1,100,100,26
3 Satz aus der Sonate in G-Dur,Unknown,120.0,436,218.0,150.0,1,127,127,32
