Title,Agreements_2,Agreements_3,Length (s),Note Count,Avg Notes/Min,BPM,Tempo Changes Count,Min Velocity,Max Velocity,Unique Pitches Count
-28Y7Anvr68,"Laid-back,Pop-Piano Cover","Relaxing/Calm,Sad,Ballad,Emotional",41.65501915625,182,262.1532823940988,112.83476704616484,1,40,93,28
-2JPf3mSSrQ,"Emotional,Passionate",Pop-Piano Cover,31.539583333333333,333,633.4896624611929,240.2730375426622,1,25,89,25
-2MJVsqAnLM,Powerful,"Epic,Tense",30.50520833333333,361,710.0426839679018,235.78947368421044,1,27,94,29
-arEXbNEAXA,"Mysterious,Easy,New-age,Dark",Tense,30.98958333333333,193,373.6739495798319,203.53356890459372,1,43,98,9
-D0QCFsKs8Q,Pop-Piano Cover,Powerful,30.48958333333333,344,676.952511103519,189.72332015810252,1,46,102,54
-eLiiE_u3vU,,"Emotional,Sad",30.610416666666666,249,488.0691485741509,228.607715510398,1,39,75,31
-fYeNQi1UsY,Bright,Pop-Piano Cover,31.48958333333333,352,670.69798213695,197.5037717734192,1,24,95,30
-LuHE3NwxGQ,"Powerful,Pop-Piano Cover,Passionate,Intense/Grand",,30.98958333333333,417,807.3680672268907,215.0823930513843,1,34,93,30
-SuET_wj-1w,"Passionate,Powerful","Pop-Piano Cover,Upbeat/Energetic",31.48958333333333,407,775.4945418458485,216.3888236675272,1,43,94,32
-SWahGvzV3o,New-age,"Laid-back,Relaxing/Calm,Emotional",31.5,202,384.7619047619048,199.86120749479528,1,28,79,30
-syVMkAZuUI,"Laid-back,Relaxing/Calm",Emotional,35.63191666666666,234,394.0287616673255,165.16286894020493,1,23,84,32
-yc20F0Hg0A,"Relaxing/Calm,New-age,Sad",Emotional,30.98958333333333,233,451.1193277310924,147.81359063847256,1,38,89,38
-YUBTfo4y68,,"Emotional,Pop-Piano Cover",40.26041666666666,202,301.0401034928849,125.14319573375472,1,48,93,32
-ZYGg918QDc,"Happy,Emotional,Dreamy","Relaxing/Calm,New-age",30.48958333333333,300,590.3655620088829,181.9567035213228,1,33,91,23
02NJU-sh3TI,"Relaxing/Calm,Dreamy,Bright",Emotional,30.98958333333333,407,788.0067226890756,221.7179902755268,1,27,98,28
070Qraa27Lk,Easy,"New-age,Emotional,Relaxing/Calm",31.48958333333333,220,419.18623883559377,164.00911161731187,1,35,86,29
0BEukgT9mb8,"Happy,Relaxing/Calm,Dreamy","Laid-back,Emotional",38.594791666666666,150,233.19208658335808,163.2388663967612,1,36,83,35
0iCb_lPlPeM,Tense,Classical,31.48958333333333,442,842.183261660602,158.8089330024813,1,29,93,28
0JRk--FTpVc,"Powerful,Happy,Bright,Speedy,Emotional,Intense/Grand","Passionate,Pop-Piano Cover,Epic,Upbeat/Energetic",31.48958333333333,335,638.3063182269269,224.8536109303837,1,35,100,30
0JW9OAELXp8,"Passionate,Playful,Bright","Difficult/Advanced,Intense/Grand,Speedy,Pop-Piano Cover,Upbeat/Energetic",31.510416666666668,442,841.6264462809917,220.5957446808515,1,50,106,54
0k2BE65_part_11,"Sad,Easy,Laid-back","Emotional,Relaxing/Calm,Dreamy,New-age",30.48958333333333,441,867.8373761530578,221.6331765711855,1,6,71,27
0pCKUEDPXNk,"Emotional,Upbeat/Energetic","Happy,Bright",41.73854166666666,244,350.7549477151913,183.2527360651565,1,51,105,43
0psmJz0UTX0,"Playful,Cute","Easy,Happy,Bright,Classical",30.98958333333333,234,453.05546218487393,172.03366820526733,1,58,95,32
0RJhBQNrWzg,"Passionate,Intense/Grand",Pop-Piano Cover,31.48958333333333,389,741.1974859411181,238.9380530973455,1,39,105,35
0_cDRDBBZ7I,"Tense,Dreamy,Dark,Relaxing/Calm","Sad,New-age,Emotional",35.080083333333334,138,236.0313663260967,185.7809816396138,1,45,98,24
11FrFsuTPg0,"Passionate,Intense/Grand,Dark,Classical",Emotional,31.48958333333333,430,819.3185577241152,213.551521350038,1,24,87,41
11qOwHylOqA,"Laid-back,Dreamy,Pop-Piano Cover",Emotional,37.63645833333333,183,291.73839639091085,164.64379947229563,1,28,78,28
13OdADnlU0c_part_3,"Emotional,Relaxing/Calm,Laid-back",New-age,43.64791666666667,165,226.81494916710415,223.463687150838,1,10,80,31
13OdADnlU0c_part_6,Happy,"Relaxing/Calm,New-age,Emotional",31.48958333333333,173,329.6328150843533,240.0000000000003,1,8,81,29
14CpZ1Pegzk,"Bright,Emotional,Upbeat/Energetic,Happy,New-age,Relaxing/Calm",,31.48958333333333,337,642.1171022163414,182.0689655172416,1,17,91,25
1C79WvSieT8,"Tense,Mysterious,Emotional,Sad","New-age,Dark",33.04375,160,290.5239266124456,188.5090909090908,1,35,92,32
1cE-5gcCs68,"Passionate,Emotional",,30.48958333333333,274,539.2005466347797,180.44052863436124,1,64,91,34
1CoejLmjIjE,Relaxing/Calm,"Tense,New-age,Emotional,Dark,Epic",30.98958333333333,453,877.0689075630252,244.8787110142544,1,53,97,20
