Title,Tags,Length (s),Note Count,Avg Notes/Min,BPM,Tempo Changes Count,Min Velocity,Max Velocity,Unique Pitches Count
-3qlKC-UzFM,"Jazz, Samba, Swing",189.678125,1007,318.5396312832595,154.55307731007878,1,46,100,45
-9nQTrRFDu0,"jazz, samba",141.959375,1357,573.5443678869395,198.4030061061534,1,44,95,57
-AK4DKloWis,"K-pop, pop, jazz, acoustic, new age, cover, creepy version, study music, piano cover, emotional, diverse styles",133.55833333333334,1299,583.5652336681849,227.1047545419404,1,17,106,44
-eS1OPZx_I0,"French, anthem, odd meter, jazz piano solo",169.60104166666667,874,309.1962141545416,192.0000000000003,1,17,82,48
-GKPU4Io67U,"Jazz, Samba, Brazilian",186.7020833333333,1470,472.4103685684636,177.5323010158799,1,44,93,42
-GSuQnzdymo,"Bossa Nova, Jazz, Improvisation, Solo Piano",343.9989583333333,3128,545.583047429286,214.2073747242348,1,32,93,62
-IH7UKtvKqU,"jazz, ballad, relaxing, peaceful, rubato, acoustic, solo",197.05,1194,363.56254757675714,186.3407620416952,1,22,100,51
-iVVZGXkk2I,"drama, waltz, jazz, kpop, pop, ccm",165.23958333333334,1022,371.0975225367207,142.46846401187256,1,35,99,49
-JJ5U9vKeIY,"jazz, waltz, advanced, solo",251.7458333333333,2311,550.7936245220874,200.94692250187072,1,10,95,61
-LuHE3NwxGQ,"K-pop, pop, acoustic, jazz, new age, emotional, cover, arrangement, League of Legends, gaming, competitive, energetic, dynamic, cinematic",75.56770833333333,931,739.2046316079675,208.9480048367595,1,54,98,29
-M7Sf4yszcM,"jazz, blues, improvisation, bebop, tutorials",111.34270833333332,528,284.5269391611859,189.83795660532908,1,25,99,36
-R9i2H3RnLE,"blues, gospel, jazz, emotional, spiritual",363.6322916666667,1449,239.08767728388625,172.03969553906796,1,15,92,62
-RNFQJOzWPY,"jazz, swing, advanced, solo",232.13854166666667,2425,626.7808824651228,196.6989186112725,1,9,99,59
-S48KsYyc9g,"jazz, classic, piano",107.54895833333332,991,552.864490009395,241.98144224446548,1,47,90,40
-SWahGvzV3o,"jazz, calming, old pop, intermediate-level, D major",265.3442708333333,1739,393.2249966140686,201.1804194810676,1,16,82,54
-sWP7vd9kfA,"emotional, memorial, romantic, nostalgic, acoustic, cinematic, cover, jazz, pop, new age, kpop, bgm",256.371875,906,212.0357390996965,176.99251008258156,1,36,94,37
-SxSuoJ0Cp4,"jazz, swing, upbeat, solo, advanced",224.428125,2613,698.5755461798739,199.75874547647777,1,22,96,57
-uImefGWd08,"smooth jazz, nostalgic, relaxing, acoustic, instrumental, game music, cover, emotional, serene",260.55906250000004,2079,478.7398250636551,174.38525373819192,1,13,99,68
-VJICubcA7A,"jazz, nostalgic, commemorative, acoustic, new age, emotional, soothing, reflective, serene",92.33541666666666,415,269.6690056632296,164.5366060093101,1,31,91,41
-wsABbcUVTc,"jazz, blues, improvisation, solo",220.618125,1775,482.7345894631277,215.32897482264516,1,10,97,63
03n9EjKiafE,"jazz, swing, gospel, blues",90.85520833333334,776,512.4637415301361,181.38558432470396,1,43,98,47
05sk8qECYYE,"Bossa Nova, jazz, solo, relaxed, smooth",322.375,1955,363.86196200077546,217.74193548387024,1,38,96,59
0BEukgT9mb8,"jazz, swing, ballad, solo, tutorial, standard",213.98645833333333,1358,380.7717583375116,198.49235408141203,1,24,83,53
