Title,Tags,Length (s),Note Count,Avg Notes/Min,BPM,Tempo Changes Count,Min Velocity,Max Velocity,Unique Pitches Count
--deSMVs5B4,"playful, whimsical, light-hearted, Chinese, instrumental",98.128125,1150,703.1623196713481,225.52055525894207,1,26.0,111.0,39
-0g0FzxpY54,"anime, piano, acoustic, sad, nostalgic, inspiring, impactful",298.16979166666664,2372,477.3119342656415,191.3160681621252,1,46.0,101.0,46
-21oGmFw_Ro,"intense, dramatic, energetic, Japanese, anime, cover",261.1,3723,855.5342780543851,246.6654721376123,1,18.0,101.0,55
-2JPf3mSSrQ,"creepy, Japanese, acoustic, New Age, K-pop",92.81041666666668,838,541.7495342207457,261.563412260785,1,25.0,97.0,34
-35Cbdcyfb4,"emotional, reflective, melancholic, piano, instrumental",241.9471875,1139,282.4583360779922,169.42837533091517,1,28.0,87.0,45
-3WDaU12IE8,"ragtime, original, homage, poetic, harmonies, creative commons",210.6504375,3142,894.942361560488,189.93881214963483,1,43.0,97.0,49
-3WEHWoBOz4,"classical, post-romantic era, russian romanticism, ukrainian classical, intense",201.5205,3086,918.8147111584182,201.75696692026364,1,22.0,108.0,68
-5oDPoGq19w,"piano cover, Only Piano",224.68541666666667,2534,676.6794314272732,185.7937768595844,1,22.0,87.0,39
-6dK0S_YvJc,"creepy, scary, sad, emotional, lullaby",169.0,1521,540.0,198.30158365848155,1,18.0,95.0,30
-807FRAvmPs,"Korean, children, sentimental, soothing",195.9645833333333,754,230.8580419506076,165.18369245078287,1,20.0,81.0,37
-arEXbNEAXA,"dark, atmospheric, horror",250.11979166666663,1551,372.0617204256294,202.11153893926243,1,11.0,99.0,20
-cHyMn5P9OQ,"romantic, emotional, Korean drama, tutorial",217.609375,1601,441.4331873339556,200.52865708207088,1,9.0,89.0,41
-cZfTIO_part_5,"sad, emotional, relaxing, beautiful, love",308.7489583333333,1288,250.3004396101201,182.7814569536428,1,8.0,104.0,44
-D0QCFsKs8Q,"fun, funky, secret-messages, tutorial, medium-difficulty",129.98958333333334,1362,628.6657584742367,191.09004739336572,1,10.0,105.0,69
-dm30M4_040,"CCM, inspirational, comforting, worship, spiritual",362.0989583333333,1596,264.4580930051925,118.37933059307062,1,20.0,81.0,47
-Dp1PBbOedM,"classical, waltz, dance, emotional, romantic, elegant",218.859375,3605,988.305847076462,202.70537776311792,1,14.0,97.0,57
-DqP1oM3-xw,"Latin, instrumental, relaxing",121.44895833333334,1280,632.3644192090298,163.57661568420593,1,32.0,75.0,20
-eLiiE_u3vU,"classical, beautiful, emotional, solo",220.52395833333333,1423,387.1688166913081,225.80855929435063,1,34.0,92.0,48
-fYeNQi1UsY,"spring, Cherry Blossom",210.94166666666663,1879,534.4605538656027,190.30837004405336,1,26.0,97.0,47
-hQ9KeHIIuw,"classical, energetic, piano",138.58958333333334,2081,900.9335117177518,209.1116173120728,1,36.0,107.0,71
-jfjK2O4ac8,"playful, joyful, improvisation, neoclassical, new age, contemporary",262.76979166666666,2429,554.6299636484724,221.90053700677356,1,10.0,95.0,44
-JvTna_D4MU,"anime, emotional, medley, cover, dramatic, energetic",247.56875,2929,709.8634217767792,197.18524153670592,1,45.0,112.0,68
-LG6ZoFbMX4,"contemporary Christian, hymn, Christian, acoustic, ballad, peaceful, relaxing, worship, meditation, healing, study, rest, stress relief, refreshing, deep sleep, relaxation",217.69583333333333,1040,286.638467280418,174.39865433137302,1,34.0,92.0,50
-MgL8JM9hrw,"anime piano, japanese vgm, cute piano",94.0,607,387.4468085106383,202.5621703089683,1,33.0,92.0,37
-MGMetrTpAs,"romantic, cover, piano, love",203.5302083333333,1543,454.871052106311,212.15469613259737,1,15.0,92.0,25
-Oc4i9kD2uc,"romantic, dramatic, Korean, instrumental, emotional",224.0,1179,315.80357142857144,191.00957995578392,1,47.0,92.0,39
-otOCLfbhHE,"ragtime, contemporary, modern, slow, sentimental",317.56875,3475,656.5507468855169,207.69230769230472,1,29.0,94.0,53
-p6lJeJpOp8,"beautiful, instrumental, drama, cover, tutorial",231.57916666666665,1300,336.8178628618723,199.34737466627135,1,22.0,80.0,38
-Pk0BW3Fllg,"romantic, classical, nostalgic, melodic",202.08020833333333,995,295.42724887498264,130.12048192771155,1,23.0,95.0,44
-rgtVMzK-Ls,"romantic, cover, emotional, soothing",159.475,1283,482.7088885405236,218.2035689362972,1,14.0,104.0,35
-Ri208sQkVw,"Bossa Nova, Solo Piano, Relaxing, Smooth, Calm, Gentle",130.86666666666667,506,231.99184921039225,217.6820888685296,1,36.0,96.0,46
