Title,Genre,Length (s),Note Count,Avg Notes/Min,BPM,Tempo Changes Count,Min Velocity,Max Velocity,Unique Pitches Count
'Round About Midnight,Jazz,275.9934895833333,1996,433.9232790628554,204.56074766355067,1,14,95,70
"'Round Midnight - Live At Maybeck Recital Hall, Berkeley, CA  August 27, 1995",Jazz,266.15885416666663,2418,545.088009392887,199.0019193857962,1,22,102,81
"'Round Midnight - Live At Maybeck Recital Hall, Berkeley, CA  November 11, 1991",Jazz,306.40885416666663,2413,472.5059280475265,197.24280442804428,1,24,99,72
'Senzo' - Contours And Time,Jazz,149.98958333333331,838,335.2232793944024,165.13013956997318,1,23,109,58
'Tis the Season,Jazz,210.8059895833333,1321,375.98552183768896,191.1372277912208,1,18,94,54
(I Don't Stand A) Ghost Of A Chance With You,Jazz,152.5,1632,642.0983606557378,200.09925558312293,1,24,84,74
"117th Street - Live At Maybeck Recital Hall, Berkeley, CA  October 30, 1994",Jazz,369.69921875,3234,524.8591020994685,205.24716157205225,1,12,103,76
16 For Mckenna,Jazz,223.6888020833333,2514,674.3296874727143,208.67846850555708,1,19,94,57
32nd Street Love,Jazz,157.34895833333331,880,335.5598954023369,115.67320858055672,1,38,94,52
"A Child Is Born - Live At Maybeck Recital Hall, Berkeley, CA  February 27, 1994",Jazz,322.06510416666663,1718,320.0595117770249,170.83172147001935,1,10,98,58
"A Child Is Born - Live At Maybeck Recital Hall, Berkeley, CA  November 11, 1991",Jazz,277.51953125,1807,390.6752058554438,182.21441124780463,1,17,96,68
A Connecticut Yankee -  My heart stood still,Jazz,256.79947916666663,2636,615.8890995933517,190.2821748107366,1,11,95,77
"A Cottage For Sale - Live At Maybeck Recital Hall, Berkeley, CA  1991",Jazz,312.5,3184,611.3280000000001,196.28672150411293,1,24,110,80
A Cottage For Sale,Jazz,381.2395833333333,5304,834.750676247985,195.78215527230589,1,28,110,80
A Fable,Jazz,303.53385416666663,3621,715.768593906844,223.00770747446072,1,14,98,68
"A Fine Romance - Live At Maybeck Recital Hall, Berkeley, CA  January 20, 1991",Jazz,197.609375,1797,545.6218866134261,215.8313817330229,1,20,100,74
A Flower Is a Lovesome Thing,Jazz,358.62890625,1680,281.0704832859523,172.9422222222215,1,19,96,70
"A Foggy Day (In London Town) - Live At The Maybeck Recital Hall, Berkeley, CA  February 14, 1990",Jazz,372.5,4530,729.6644295302013,222.1209465381252,1,25,104,81
A Gal In Calico,Jazz,259.46875,3442,795.9339997591233,209.05860113421727,1,18,102,57
A Ghost Of A Chance,Jazz,176.41796875,2140,727.8170183557337,197.44232036915056,1,27,89,71
"A Kiss To Build A Dream On - Live At Maybeck Recital Hall, Berkeley, CA  1990",Jazz,359.9895833333333,4116,686.0198501114037,203.76500315855972,1,14,103,74
A Kiss To Build A Dream On,Jazz,198.88932291666663,1724,520.0882505057383,197.20399429387,1,26,93,61
A Little Jazz Exercise - Remastered,Jazz,161.0,2143,798.6335403726708,201.26091910368376,1,22,100,69
A Little Jazz Exercise,Jazz,142.5,1741,733.0526315789474,206.7250587481304,1,14,100,68
A Little Sweetenin' for Sweden,Jazz,216.3828125,1945,539.3219482254395,222.17357310398435,1,29,103,78
A Memory That Became A Dream,Jazz,156.83463541666666,1932,739.1224501656303,221.77169499172828,1,20,97,64
A Moment Alone,Jazz,284.66796875,1375,289.811320754717,166.86205725925123,1,25,102,56
"A Nightingale Sang in Berkeley Square - Recorded Live in Concert, 2006",Jazz,219.9895833333333,1576,429.83853402149725,177.63265306122713,1,21,95,63
A Place in Time,Jazz,290.15625,2227,460.51050080775445,216.86465433300415,1,12,94,66
A Real Slow Drag (from Treemonisha) - Instrumental,Jazz,187.9765625,1184,377.9194547192552,184.6609124537608,1,28,95,57
A Rose for Emily,Jazz,129.82942708333331,1940,896.5609924881408,189.2103600758052,1,25,97,53
A Shine On Your Shoes,Jazz,163.59895833333331,2076,761.3740409410717,224.23357664233632,1,17,101,53
A Simple Need,Jazz,182.5,856,281.4246575342466,187.97202797202715,1,18,92,51
A Sleepin' Bee,Jazz,252.5,1729,410.8514851485149,206.6648545800504,1,17,85,61
A Tune For Humming,Jazz,172.14973958333331,1132,394.5402424911695,199.01060070671343,1,17,96,68
A Walk with Leonard,Jazz,295.8450520833333,1565,317.3958778041363,165.19329522333132,1,13,100,58
A Woman's Prerogative,Jazz,284.37890625,2182,460.37169819095897,180.7058823529407,1,18,95,71
A Wonderful Guy,Jazz,237.40885416666663,2741,692.7290078429222,237.83712928068303,1,23,99,69
"A-Tisket, A-Tasket",Jazz,175.13932291666666,1836,628.9849598905633,208.40752201856665,1,25,93,68
Abscretion,Jazz,307.20963541666663,4676,913.2526055684358,199.135695764908,1,26,111,79
African Flower,Jazz,273.83984375,2057,450.70139651655415,209.01720786233983,1,19,105,53
African Ripples,Jazz,217.69401041666663,2735,753.810358336972,226.95035460993296,1,21,95,68
After Hours - Live,Jazz,240.46744791666663,2529,631.020960693961,214.0575308200837,1,36,102,77
After Hours,Jazz,204.29947916666663,2197,645.2292513798423,210.690265486725,1,34,104,70
After the Party is Over - Instrumental,Jazz,222.26953125,1585,427.8589128486318,205.25612472160296,1,11,99,62
"After The Rain - Live At Maybeck Recital Hall, Berkeley, CA  August 1990",Jazz,332.7890625,3093,557.6505387703359,209.85730189252303,1,12,101,67
After The Rain,Jazz,226.38932291666663,1074,284.6423990751552,204.9952335557724,1,12,100,48
After You - Live,Jazz,345.14322916666663,3705,644.08043158411,212.42274201809852,1,20,106,80
"After You've Gone - Live At Maybeck Recital Hall, Berkeley, CA  August 8, 1993",Jazz,246.71875,3379,821.7454084863838,213.7138779878696,1,20,106,76
After You've Gone,Jazz,313.7239583333333,2634,503.7549597410144,201.0861132660985,1,16,90,74
After,Jazz,269.7591145833333,1220,271.3532038132014,163.73604060913672,1,18,109,51
Afterglow,Jazz,329.12890625,2776,506.06311641762704,199.04967602591813,1,21,111,80
Afternoon Blues,Jazz,154.76953125,1609,623.7661845990763,199.4265620773608,1,18,89,67
Afternoon Of An Elf,Jazz,350.47916666666663,4617,790.4036140997446,195.58136937339765,1,19,106,81
Again,Jazz,188.54296875,1249,397.469078252222,184.9983271997324,1,16,100,60
Ain't Misbehavin' (Live),Jazz,359.5598958333333,2698,450.217062236096,183.83918981126695,1,21,100,72
Ain't Misbehavin' - Instrumental,Jazz,207.2083333333333,2454,710.589181580535,201.4031155441004,1,16,90,71
"Ain't Misbehavin' - Live At Maybeck Recital Hall, Berkeley, CA  August 8, 1993",Jazz,357.4296875,3694,620.0939870166773,207.28027681661635,1,25,101,71
